Data Request:BPS Energy Report Request Template,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73,...74,...75,...76,...77,...78,...79,...80,...81,...82,...83,...84,...85,...86,...87,...88,...89,...90,...91,...92,...93,...94,...95,...96,...97
28032918,#14 Police Division - OLD,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,150 HARRISON ST,Toronto,M6J 2A4,2248,Office,1,City of Toronto,Organization Name,Municipality,Sub-sector,70,Weekly average hours,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 09:32 AM EDT,Not Available,Office (2248.0),Office,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524357858798,45106.526030092595
28032919,#22 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,3699 BLOOR ST W,Etobicoke,M9A 1A2,2998,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,479166.1,1724.9,28856.1,3044.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,4769.3999999999996,6455.8,1.59,2.15,Not Available,Not Available,Not Available,167,55.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (2998.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524320590281,45106.526030092595
28032920,#23 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,5230 FINCH AVE W,Etobicoke,M9V 0A1,5320,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,827624.2,2979.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:12 AM EDT,Not Available,Police Station (5320.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524263784719,45106.526030092595
28032921,#31 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,40 NORFINCH DR,North York,M3N 1X1,3297,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,620442.6,2233.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:12 AM EDT,Not Available,Police Station (3297.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.52429277778,45106.526030092595
28032922,#32 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,30 ELLERSLIE AVE,North York,M2N 1X8,4427,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,696341.9,2506.6999999999998,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:12 AM EDT,Not Available,Police Station (4427.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524250856484,45106.526030092595
28032923,#33 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,50 UPJOHN RD,North York,M3B 2W1,2591,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,403097,1451.1,13288.5,1402,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,2853.1,4260.2,1.1000000000000001,1.64,Not Available,Not Available,Not Available,82.2,31.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:13 AM EDT,Not Available,Police Station (2591.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524326724539,45106.526030092595
28032924,#41 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,2222 EGLINTON AVE E,Scarborough,M1K 2M2,4745.5,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,712097.9,2563.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Police Station (4745.5),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524329328706,45106.526030092595
28032925,#42 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,242 MILNER AVE,Scarborough,M1S 5C4,3402.1,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,543598.9,1956.9,18605.400000000001,1963,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,3919.8,5818.1,1.1499999999999999,1.71,Not Available,Not Available,Not Available,114.5,33.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:13 AM EDT,Not Available,Police Station (3402.1),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524297048614,45106.526030092595
28032926,#43 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,4331 Lawrence Ave E,Scarborough,M1E 2T4,5151.5,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,801182,2884.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:12 AM EDT,Not Available,Police Station (5151.5),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524289849534,45106.526030092595
28032927,#51 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,51 PARLIAMENT ST,Toronto,M5A 4L2,5202.6000000000004,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,Not Available,Not Available,913.4,96.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Possible Issue,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (5202.6),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524332222223,45106.526030092595
28032928,#52 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,255 DUNDAS ST W,Toronto,M5T 2W5,6659,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,1276215.6000000001,4594.2,23041.8,2431,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,7025.2,11460,1.05,1.72,Not Available,Not Available,Not Available,159.19999999999999,23.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (6659.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524330787041,45106.526030092595
28032929,#53 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,75 EGLINTON AVE W,Toronto,M4R 2G9,4848,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,698064.9,2512.9,22231.200000000001,2345.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,4858.3999999999996,7294.3,1,1.5,Not Available,Not Available,Not Available,138.19999999999999,28.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (4848.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524286412037,45106.526030092595
28032930,#54 Police Division (#55 Subunit),Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,41 CRANFIELD RD,East York,M4B 3H6,2170,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,413904.1,1490,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Possible Issue,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (2170.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524377592592,45106.526030092595
28032931,#55 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,101 COXWELL AVE,Toronto,M4L 3B3,2185,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,544079.69999999995,1958.6,8125.1,857.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,2815.8,4704.7,1.29,2.15,Not Available,Not Available,Not Available,58.9,26.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Ok,06/29/2023 11:12 AM EDT,Not Available,Police Station (2185.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524354479167,45106.526030092595
